passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",69,Robin,,Hack,2482,1998-08-27,176,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",373350,right,R. Hack,3156,Robin Hack,Robin Hack,Robin Hack,de GER,"FW,MF",Hoffenheim,18.0,1998.0,0.8,15.0,23.0,65.2,290.0,96.0,5.0,8.0,62.5,5.0,7.0,71.4,4.0,6.0,66.7,0,0.1,0.1,-0.1,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,Matches,23.0,18.0,5.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0,0,0.0,1,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
"{'name': 'Luxembourg', 'id': '442', 'alpha3code': 'LUX', 'alpha2code': 'LU'}",60,Vincent,,Thill,3777,2000-02-04,168,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Luxembourg', 'id': '442', 'alpha3code': 'LUX', 'alpha2code': 'LU'}",406156,left,V. Thill,14768,Vincent Thill,Vincent Thill,Vincent Thill,lu LUX,MF,Metz,17.0,2000.0,0.3,14.0,17.0,82.4,231.0,13.0,5.0,7.0,71.4,9.0,10.0,90.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,17.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",76,Benjamin,,Pavard,2445,1996-03-28,186,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",340646,right,B. Pavard,4418,Benjamin Pavard,Benjamin Pavard,Benjamin Pavard,fr FRA,DF,Stuttgart,21.0,1996.0,34.0,1616.0,1943.0,83.2,31458.0,11486.0,555.0,607.0,91.4,871.0,989.0,88.1,177.0,314.0,56.4,0,1.1,1.7,-1.1,9.0,122.0,4.0,0.0,103.0,55.0,76.6,40.0,13.0,2.0,36.0,47.0,11.0,59.0,34.0,25.0,70.0,125.0,192.0,1.0,Matches,1943.0,1832.0,106.0,39.0,0.0,6.0,9.0,67.0,0.0,0.0,0.0,0.0,1616.0,5.0,18.0,2,0,0.0,24,21.0,2.0,9.0,70.0,40.0,0.0,2.0,0.0,124.0,100.0,86.0,53.8
"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",77,Jordan,,Torunarigha,2457,1997-08-07,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",275121,left,J. Torunarigha,3155,Jordan Torunarigha,Jordan Torunarigha,Jordan Torunarigha,de GER,DF,Hertha BSC,19.0,1997.0,7.4,265.0,336.0,78.9,5898.0,2105.0,68.0,82.0,82.9,146.0,161.0,90.7,51.0,88.0,58.0,0,0.1,0.0,-0.1,1.0,22.0,0.0,0.0,18.0,18.0,53.8,16.0,2.0,0.0,7.0,13.0,6.0,20.0,13.0,7.0,23.0,41.0,43.0,1.0,Matches,336.0,327.0,8.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,1.0,2.0,0,1,0.0,10,7.0,0.0,0.0,23.0,12.0,0.0,0.0,0.0,32.0,20.0,16.0,55.6
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",67,Imad,,Faraj,3776,1999-02-11,172,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",471771,right,I. Faraj,33157,Imad Faraj,Imad Faraj,Imad Faraj,ma MAR,"MF,DF",Lille,18.0,1999.0,1.8,60.0,81.0,74.1,847.0,290.0,37.0,41.0,90.2,17.0,27.0,63.0,3.0,7.0,42.9,1,1.0,0.5,0.0,3.0,5.0,3.0,2.0,6.0,5.0,50.0,2.0,1.0,2.0,4.0,8.0,4.0,1.0,0.0,1.0,4.0,9.0,3.0,0.0,Matches,81.0,71.0,10.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,60.0,0.0,2.0,0,0,0.0,1,3.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0,9.0,2.0,3.0,40.0
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",65,L\u00e9o,,Dubois,3766,1994-09-14,178,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",242446,right,L. Dubois,null,Léo Dubois,Leo Dubois,Leo Dubois,fr FRA,DF,Nantes,22.0,1994.0,33.6,1403.0,1998.0,70.2,24776.0,12947.0,708.0,789.0,89.7,471.0,645.0,73.0,192.0,443.0,43.3,4,6.7,6.0,-2.7,58.0,138.0,41.0,22.0,171.0,50.0,42.6,33.0,15.0,2.0,20.0,47.0,27.0,47.0,13.0,34.0,50.0,100.0,99.0,2.0,Matches,1998.0,1462.0,528.0,78.0,0.0,13.0,251.0,367.0,81.0,20.0,55.0,0.0,1403.0,8.0,64.0,5,0,0.0,24,30.0,2.0,251.0,50.0,39.0,1.0,1.0,0.0,228.0,34.0,35.0,49.3
"{'name': 'Tunisia', 'id': '788', 'alpha3code': 'TUN', 'alpha2code': 'TN'}",68,Sa\u00eef-Eddine,,Khaoui,3771,1995-04-27,182,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",275243,left,S. Khaoui,16276,Saîf-Eddine Khaoui,Saîf-Eddine Khaoui,Saîf-Eddine Khaoui,tn TUN,"MF,FW",Troyes,22.0,1995.0,21.7,483.0,746.0,64.7,7098.0,3108.0,273.0,346.0,78.9,128.0,197.0,65.0,40.0,106.0,37.7,2,2.6,2.6,-0.6,31.0,53.0,16.0,1.0,72.0,57.0,30.0,22.0,27.0,8.0,15.0,50.0,35.0,12.0,2.0,10.0,27.0,84.0,9.0,0.0,Matches,746.0,626.0,113.0,37.0,5.0,3.0,104.0,4.0,71.0,34.0,31.0,0.0,483.0,7.0,25.0,1,0,0.0,40,26.0,1.0,104.0,27.0,25.0,0.0,0.0,0.0,119.0,9.0,20.0,31.0
"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",75,Vincent,,Sierro,2453,1995-10-08,185,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",373636,right,V. Sierro,null,Vincent Sierro,Vincent Sierro,Vincent Sierro,ch SUI,"MF,FW",Freiburg,21.0,1995.0,2.4,43.0,66.0,65.2,729.0,265.0,20.0,25.0,80.0,18.0,30.0,60.0,4.0,8.0,50.0,0,0.2,0.1,-0.2,4.0,9.0,0.0,0.0,12.0,8.0,44.4,2.0,6.0,0.0,4.0,9.0,5.0,2.0,1.0,1.0,4.0,12.0,0.0,0.0,Matches,66.0,64.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,0,0,0.0,7,1.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,1.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"FW,DF",Bologna,20.0,1997.0,3.8,76.0,113.0,67.3,1317.0,401.0,38.0,49.0,77.6,29.0,43.0,67.4,7.0,16.0,43.8,1,1.0,0.6,0.0,5.0,7.0,3.0,2.0,10.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,5.0,20.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,113.0,107.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,7,9.0,2.0,10.0,3.0,5.0,0.0,0.0,0.0,17.0,6.0,6.0,50.0
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",73,Riccardo,,Orsolini,3166,1997-01-24,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",373768,left,R. Orsolini,3763,Riccardo Orsolini,Riccardo Orsolini,Riccardo Orsolini,it ITA,"MF,FW",Atalanta,20.0,1997.0,1.4,38.0,55.0,69.1,527.0,102.0,18.0,24.0,75.0,15.0,18.0,83.3,1.0,6.0,16.7,0,0.5,0.3,-0.5,4.0,1.0,1.0,0.0,4.0,3.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,Matches,55.0,51.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,38.0,0.0,2.0,0,0,0.0,5,3.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,50.0
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,Eden,,Massouema,3804,1997-06-29,184,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",373817,right,E. Massouema,null,Eden Massouema,Eden Massouema,Eden Massouema,cg CGO,"MF,FW",Dijon,20.0,1997.0,2.1,51.0,71.0,71.8,834.0,189.0,26.0,34.0,76.5,21.0,27.0,77.8,4.0,6.0,66.7,0,0.3,0.2,-0.3,2.0,5.0,1.0,0.0,5.0,2.0,100.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,5.0,7.0,2.0,0.0,Matches,71.0,69.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,1,0,0.0,6,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,66.7
"{'name': 'Portugal', 'id': '620', 'alpha3code': 'PRT', 'alpha2code': 'PT'}",90,Eric ,,Dier,1624,1994-01-15,188,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}",210044,right,E. Dier,2413,Eric  Dier,Eric Dier,Eric Dier,eng ENG,"MF,DF",Tottenham,23.0,1994.0,31.4,1949.0,2285.0,85.3,38485.0,13081.0,670.0,747.0,89.7,1003.0,1107.0,90.6,251.0,358.0,70.1,2,1.7,2.7,0.3,15.0,221.0,25.0,4.0,213.0,61.0,40.5,15.0,39.0,7.0,17.0,42.0,25.0,32.0,11.0,21.0,48.0,109.0,93.0,7.0,Matches,2285.0,2222.0,58.0,52.0,2.0,19.0,26.0,6.0,0.0,0.0,0.0,0.0,1949.0,5.0,29.0,4,0,0.0,23,8.0,1.0,26.0,48.0,43.0,0.0,0.0,0.0,170.0,81.0,61.0,57.0
